"Dataset","Number of the triple","Time"
"result","673","1.8076448440551758"
"result","674","1.807704210281372"
"result","675","1.8077208995819092"
"result","676","1.807727336883545"
"result","677","1.8077666759490967"
"result","678","1.8077895641326904"
"result","679","1.8078477382659912"
"result","680","1.8079135417938232"
"result","681","1.8079326152801514"
"result","682","1.8079404830932617"
"result","683","1.8079829216003418"
"result","684","1.8079967498779297"
"result","685","1.808074712753296"
"result","686","1.808081865310669"
"result","687","1.8081259727478027"
"result","688","1.808142900466919"
"result","689","1.8081493377685547"
"result","690","1.8081941604614258"
"result","691","1.8082146644592285"
"result","692","1.8082313537597656"
"result","693","1.8082382678985596"
"result","694","1.8083038330078125"
"result","695","1.8083217144012451"
"result","696","1.80832839012146"
"result","697","1.808448076248169"
"result","698","1.8084731101989746"
"result","699","1.8084795475006104"
"result","700","1.808518886566162"
"result","701","1.8085336685180664"
"result","702","1.8085401058197021"
"result","703","1.8085768222808838"
"result","704","1.8085899353027344"
"result","705","1.8085956573486328"
"result","706","1.8086352348327637"
"result","707","1.8086493015289307"
"result","708","1.8086552619934082"
"result","709","1.80869460105896"
"result","710","1.8087084293365479"
"result","711","1.8087143898010254"
"result","712","1.8087522983551025"
"result","713","1.8087754249572754"
"result","714","1.8087847232818604"
"result","715","1.8088257312774658"
"result","716","1.8088390827178955"
"result","717","1.8088445663452148"
"result","718","1.8088810443878174"
"result","719","1.8088924884796143"
"result","720","1.8089048862457275"
"result","721","1.8089101314544678"
"result","722","1.808943748474121"
"result","723","1.8089556694030762"
"result","724","1.8089678287506104"
"result","725","1.8089730739593506"
"result","726","1.809006690979004"
"result","727","1.8090183734893799"
"result","728","1.8090310096740723"
"result","729","1.8090364933013916"
"result","730","1.8090698719024658"
"result","731","1.8090815544128418"
"result","732","1.809093952178955"
"result","733","1.8090991973876953"
"result","734","1.809131145477295"
"result","735","1.8091418743133545"
"result","736","1.8091540336608887"
"result","737","1.809159278869629"
"result","738","1.8091940879821777"
"result","739","1.8092074394226074"
"result","740","1.8092129230499268"
"result","741","1.809248924255371"
"result","742","1.8092615604400635"
"result","743","1.8092670440673828"
"result","744","1.8092997074127197"
"result","745","1.8093116283416748"
"result","746","1.809323787689209"
"result","747","1.8093290328979492"
"result","748","1.8093624114990234"
"result","749","1.8093740940093994"
"result","750","1.8093795776367188"
"result","751","1.8094120025634766"
"result","752","1.8094241619110107"
"result","753","1.809429407119751"
"result","754","1.8094618320465088"
"result","755","1.809474229812622"
"result","756","1.8094801902770996"
"result","757","1.8095471858978271"
"result","758","1.8095643520355225"
"result","759","1.809570074081421"
"result","760","1.8096060752868652"
"result","761","1.8096201419830322"
"result","762","1.8096258640289307"
"result","763","1.8096582889556885"
"result","764","1.8096704483032227"
"result","765","1.809675693511963"
"result","766","1.8097093105316162"
"result","767","1.8097217082977295"
"result","768","1.8097269535064697"
"result","769","1.8097591400146484"
"result","770","1.8097708225250244"
"result","771","1.8097765445709229"
"result","772","1.809821367263794"
"result","773","1.8098347187042236"
"result","774","1.8098399639129639"
"result","775","1.8098726272583008"
"result","776","1.8098852634429932"
"result","777","1.8098907470703125"
"result","778","1.8099243640899658"
"result","779","1.8099370002746582"
"result","780","1.8099424839019775"
"result","781","1.8099761009216309"
"result","782","1.809988260269165"
"result","783","1.8099942207336426"
"result","784","1.810027837753296"
"result","785","1.810042142868042"
"result","786","1.8100476264953613"
"result","787","1.8100807666778564"
"result","788","1.8100931644439697"
"result","789","1.81009840965271"
"result","790","1.810133934020996"
"result","791","1.8101468086242676"
"result","792","1.810152292251587"
"result","793","1.8101849555969238"
"result","794","1.8101980686187744"
"result","795","1.8102035522460938"
"result","796","1.8102362155914307"
"result","797","1.810248613357544"
"result","798","1.8102538585662842"
"result","799","1.810286521911621"
"result","800","1.8102989196777344"
"result","801","1.8103039264678955"
"result","802","1.810337781906128"
"result","803","1.810349941253662"
"result","804","1.8103551864624023"
"result","805","1.8103880882263184"
"result","806","1.8104007244110107"
"result","807","1.810405969619751"
"result","808","1.8104395866394043"
"result","809","1.8104524612426758"
"result","810","1.8104579448699951"
"result","811","1.8104908466339111"
"result","812","1.8105030059814453"
"result","813","1.8105087280273438"
"result","814","1.8105418682098389"
"result","815","1.8105545043945312"
"result","816","1.8105602264404297"
"result","817","1.8105919361114502"
"result","818","1.8106038570404053"
"result","819","1.8106088638305664"
"result","820","1.8106412887573242"
"result","821","1.8106920719146729"
"result","822","1.8107004165649414"
"result","823","1.8107411861419678"
"result","824","1.8107521533966064"
"result","825","1.8107647895812988"
"result","826","1.8107702732086182"
"result","827","1.810804843902588"
"result","828","1.8108172416687012"
"result","829","1.8108224868774414"
"result","830","1.810856580734253"
"result","831","1.8108694553375244"
