"Dataset","Number of the triple","Time"
"result","464","1.5718467235565186"
"result","465","1.571871280670166"
"result","466","1.5718801021575928"
"result","467","1.571899175643921"
"result","468","1.5719325542449951"
"result","469","1.57194185256958"
"result","470","1.5719640254974365"
"result","471","1.5719990730285645"
"result","472","1.5720081329345703"
"result","473","1.572031021118164"
"result","474","1.572066307067871"
"result","475","1.572075366973877"
"result","476","1.5720973014831543"
"result","477","1.5721328258514404"
"result","478","1.5721421241760254"
"result","479","1.572159767150879"
"result","480","1.5721814632415771"
"result","481","1.5721864700317383"
"result","482","1.5721979141235352"
"result","483","1.5722155570983887"
"result","484","1.572220802307129"
"result","485","1.5722315311431885"
"result","486","1.572249174118042"
"result","487","1.5722541809082031"
"result","488","1.572265386581421"
"result","489","1.5722830295562744"
"result","490","1.5722875595092773"
"result","491","1.5722992420196533"
"result","492","1.5723159313201904"
"result","493","1.5723209381103516"
"result","494","1.5723319053649902"
"result","495","1.5723485946655273"
"result","496","1.5723538398742676"
"result","497","1.5723652839660645"
"result","498","1.5724053382873535"
"result","499","1.572416067123413"
"result","500","1.5724377632141113"
"result","501","1.5724740028381348"
"result","502","1.5724835395812988"
"result","503","1.5725064277648926"
"result","504","1.5725407600402832"
"result","505","1.5725469589233398"
"result","506","1.572561502456665"
"result","507","1.572594165802002"
"result","508","1.5726032257080078"
"result","509","1.5726251602172852"
"result","510","1.5726592540740967"
"result","511","1.5726680755615234"
"result","512","1.5726842880249023"
"result","513","1.572706699371338"
"result","514","1.5727150440216064"
"result","515","1.5727283954620361"
"result","516","1.5727472305297852"
"result","517","1.5727519989013672"
"result","518","1.572768211364746"
"result","519","1.572803020477295"
"result","520","1.5728118419647217"
"result","521","1.5728325843811035"
"result","522","1.5728671550750732"
"result","523","1.5728759765625"
"result","524","1.57289719581604"
"result","525","1.572932243347168"
"result","526","1.572941541671753"
"result","527","1.5729639530181885"
"result","528","1.5729897022247314"
"result","529","1.5729947090148926"
"result","530","1.5730059146881104"
"result","531","1.573024034500122"
"result","532","1.573028564453125"
"result","533","1.5730390548706055"
"result","534","1.5730574131011963"
"result","535","1.5730624198913574"
"result","536","1.5730741024017334"
"result","537","1.573091745376587"
"result","538","1.573096752166748"
"result","539","1.5731079578399658"
"result","540","1.5731251239776611"
"result","541","1.573129653930664"
"result","542","1.5731403827667236"
"result","543","1.5731573104858398"
"result","544","1.5731620788574219"
"result","545","1.5731730461120605"
"result","546","1.5731894969940186"
"result","547","1.5731945037841797"
"result","548","1.5732216835021973"
"result","549","1.5732381343841553"
"result","550","1.5732426643371582"
"result","551","1.5732531547546387"
"result","552","1.5732693672180176"
"result","553","1.5732738971710205"
"result","554","1.5732841491699219"
"result","555","1.5733001232147217"
"result","556","1.5733051300048828"
"result","557","1.5733153820037842"
"result","558","1.5733318328857422"
"result","559","1.5733363628387451"
"result","560","1.5733771324157715"
"result","561","1.5734128952026367"
"result","562","1.5734214782714844"
"result","563","1.573441982269287"
"result","564","1.5734751224517822"
"result","565","1.573484182357788"
"result","566","1.573505163192749"
"result","567","1.5735368728637695"
"result","568","1.5735421180725098"
"result","569","1.5735554695129395"
"result","570","1.5735867023468018"
"result","571","1.5735955238342285"
"result","572","1.5736167430877686"
"result","573","1.5736932754516602"
"result","574","1.5737025737762451"
"result","575","1.573723554611206"
"result","576","1.5737576484680176"
"result","577","1.5737667083740234"
"result","578","1.5737884044647217"
"result","579","1.5738229751586914"
"result","580","1.573831558227539"
"result","581","1.5738461017608643"
"result","582","1.573866844177246"
"result","583","1.5738716125488281"
"result","584","1.573882818222046"
"result","585","1.5739002227783203"
"result","586","1.5739054679870605"
"result","587","1.573915958404541"
"result","588","1.5739331245422363"
"result","589","1.5739376544952393"
"result","590","1.573948621749878"
"result","591","1.573965072631836"
"result","592","1.5739696025848389"
"result","593","1.5739796161651611"
"result","594","1.57399582862854"
"result","595","1.574000358581543"
"result","596","1.5740110874176025"
"result","597","1.5740272998809814"
"result","598","1.5740320682525635"
"result","599","1.5740423202514648"
"result","600","1.5740580558776855"
"result","601","1.5740623474121094"
"result","602","1.5740735530853271"
"result","603","1.5740904808044434"
"result","604","1.5740950107574463"
"result","605","1.5741064548492432"
"result","606","1.574122667312622"
"result","607","1.574127197265625"
"result","608","1.5741376876831055"
"result","609","1.5741541385650635"
"result","610","1.5741584300994873"
"result","611","1.5741686820983887"
"result","612","1.5741848945617676"
"result","613","1.5741891860961914"
"result","614","1.5741994380950928"
"result","615","1.5742161273956299"
"result","616","1.5742206573486328"
"result","617","1.574254035949707"
"result","618","1.5742878913879395"
"result","619","1.5742974281311035"
"result","620","1.5743176937103271"
"result","621","1.5743510723114014"
"result","622","1.5743603706359863"
"result","623","1.5743813514709473"
"result","624","1.5744092464447021"
"result","625","1.5744144916534424"
"result","626","1.5744259357452393"
"result","627","1.574453353881836"
"result","628","1.5744619369506836"
"result","629","1.57448148727417"
"result","630","1.5745124816894531"
"result","631","1.5745213031768799"
"result","632","1.5745415687561035"
"result","633","1.574573040008545"
"result","634","1.5745820999145508"
"result","635","1.574601650238037"
"result","636","1.5746331214904785"
"result","637","1.5746419429779053"
"result","638","1.5746619701385498"
"result","639","1.5746955871582031"
"result","640","1.5747096538543701"
"result","641","1.5747265815734863"
"result","642","1.5747478008270264"
"result","643","1.5747530460357666"
"result","644","1.5747637748718262"
"result","645","1.5747811794281006"
"result","646","1.5747857093811035"
"result","647","1.5747959613800049"
"result","648","1.574812412261963"
"result","649","1.574817180633545"
"result","650","1.5748271942138672"
"result","651","1.5748438835144043"
"result","652","1.5748484134674072"
"result","653","1.574859857559204"
"result","654","1.5748765468597412"
"result","655","1.5748810768127441"
"result","656","1.574892282485962"
"result","657","1.5749082565307617"
"result","658","1.5749127864837646"
"result","659","1.574923038482666"
"result","660","1.574939489364624"
"result","661","1.5749437808990479"
"result","662","1.5749537944793701"
"result","663","1.57496976852417"
"result","664","1.574974536895752"
"result","665","1.5749843120574951"
"result","666","1.5750007629394531"
"result","667","1.575005054473877"
"result","668","1.5750148296356201"
"result","669","1.5750312805175781"
"result","670","1.575035810470581"
"result","671","1.5750467777252197"
"result","672","1.575063705444336"
"result","673","1.575110673904419"
"result","674","1.5751359462738037"
"result","675","1.5751709938049316"
"result","676","1.5751805305480957"
"result","677","1.5752003192901611"
"result","678","1.57523512840271"
"result","679","1.5752618312835693"
"result","680","1.575286626815796"
"result","681","1.5753214359283447"
"result","682","1.5753302574157715"
"result","683","1.575350046157837"
"result","684","1.5753848552703857"
"result","685","1.5753939151763916"
"result","686","1.5754132270812988"
"result","687","1.5754380226135254"
"result","688","1.575446605682373"
"result","689","1.5754680633544922"
"result","690","1.5755350589752197"
"result","691","1.5755443572998047"
"result","692","1.5755641460418701"
"result","693","1.5755987167358398"
"result","694","1.5756075382232666"
"result","695","1.5756301879882812"
"result","696","1.5756661891937256"
"result","697","1.5756752490997314"
"result","698","1.5756981372833252"
"result","699","1.5757319927215576"
"result","700","1.5757379531860352"
"result","701","1.5757501125335693"
"result","702","1.5757689476013184"
"result","703","1.5757739543914795"
"result","704","1.5757908821105957"
"result","705","1.5758225917816162"
"result","706","1.5758311748504639"
"result","707","1.5758450031280518"
"result","708","1.5758695602416992"
"result","709","1.5758776664733887"
"result","710","1.575896978378296"
"result","711","1.5759286880493164"
"result","712","1.5759367942810059"
"result","713","1.5759549140930176"
"result","714","1.5759871006011963"
"result","715","1.5759963989257812"
"result","716","1.5760161876678467"
"result","717","1.5760486125946045"
"result","718","1.5760576725006104"
"result","719","1.576077938079834"
"result","720","1.576103925704956"
"result","721","1.5761091709136963"
"result","722","1.5761213302612305"
"result","723","1.5761394500732422"
"result","724","1.5761444568634033"
"result","725","1.5761566162109375"
"result","726","1.576174020767212"
"result","727","1.576179027557373"
"result","728","1.5761897563934326"
"result","729","1.5762059688568115"
"result","730","1.5762104988098145"
"result","731","1.5762207508087158"
"result","732","1.5762379169464111"
"result","733","1.576242208480835"
"result","734","1.5762531757354736"
"result","735","1.5762686729431152"
"result","736","1.5762732028961182"
"result","737","1.5762834548950195"
"result","738","1.5762999057769775"
"result","739","1.5763046741485596"
"result","740","1.576350212097168"
"result","741","1.5763859748840332"
"result","742","1.57639479637146"
"result","743","1.576416254043579"
"result","744","1.5764493942260742"
"result","745","1.57645845413208"
